Player_name,Player_Ground,Player_match,Player_Inns,Player_NO,Player_Runs,Player_HS,Player_Ave,Player_BF,Player_SR,Player_hundred
T Bavuma,"South Africa - The Wanderers Stadium, Johannesburg",1,1,0,92,92,92,102,90.19,0
Hashmatullah Shahidi,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",2,2,0,92,82,46,125,73.6,0
Ayaan Khan,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,0,91,41,18.2,190,47.89,0
DM de Silva,"England - Kennington Oval, London",1,1,0,91,91,91,91,100,0
WTS Porterfield,"Ireland - Civil Service Cricket Club, Stormont, Belfast",2,2,0,91,75,45.5,143,63.63,0
MP O'Dowd,"Netherlands - Hazelaarweg, Rotterdam",2,2,0,90,82,45,116,77.58,0
RG Sharma,"India - Maharashtra Cricket Association Stadium, Pune",3,3,0,90,37,30,104,86.53,0
MS Wade,"West Indies - Kensington Oval, Bridgetown, Barbados",3,3,1,90,51*,45,124,72.58,0
PBB Rajapaksa,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",5,5,0,89,65,17.8,85,104.7,0
KL Rahul,Australia - Sydney Cricket Ground,2,2,0,88,76,44,81,108.64,0
HT Tector,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,3,1,88,58,44,162,54.32,0
Sikandar Raza,Zimbabwe - Harare Sports Club,2,2,0,87,57,43.5,98,88.77,0
Afif Hossain,Zimbabwe - Harare Sports Club,3,3,1,86,45,43,75,114.66,0
D Myers,Zimbabwe - Harare Sports Club,3,3,0,86,34,28.66,121,71.07,0
MD Gunathilaka,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",3,3,0,84,39,28,98,85.71,0
FDM Karunaratne,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,3,0,84,52,28,110,76.36,0
KJ Coetzer,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,0,83,60,41.5,104,79.8,0
AL Phehlukwayo,"South Africa - SuperSport Park, Centurion",2,2,0,83,54,41.5,96,86.45,0
SR Taylor,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),1,1,0,82,82,82,55,149.09,0
A Balbirnie,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",5,5,0,81,53,16.2,110,73.63,0
KJ Coetzer,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),1,1,0,81,81,81,103,78.64,0
Shakib Al Hasan,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",5,5,1,81,43*,20.25,137,59.12,0
A Balbirnie,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,3,1,80,63*,40,159,50.31,0
Q de Kock,"South Africa - The Wanderers Stadium, Johannesburg",1,1,0,80,80,80,86,93.02,0
K Gore,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,0,80,44,16,95,84.21,0
HE van der Dussen,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",3,3,0,80,59,26.66,89,89.88,0
HE van der Dussen,"Ireland - The Village, Malahide, Dublin",2,2,0,79,49,39.5,98,80.61,0
SC Williams,Pakistan - Rawalpindi Cricket Stadium,2,2,0,79,75,39.5,84,94.04,0
Tamim Iqbal,"New Zealand - Hagley Oval, Christchurch",1,1,0,78,78,78,108,72.22,0
L Gregory,"England - Edgbaston, Birmingham",1,1,0,77,77,77,69,111.59,0
Karan KC,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,4,1,76,42,25.33,87,87.35,0
L Siaka,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),4,4,0,76,30,19,94,80.85,0
AJ Finch,"Australia - Manuka Oval, Canberra",1,1,0,75,75,75,82,91.46,0
PR Stirling,"Ireland - Civil Service Cricket Club, Stormont, Belfast",2,2,0,75,43,37.5,87,86.2,0
DM de Silva,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",3,3,1,74,55*,37,106,69.81,0
Mohammad Rizwan,"England - Edgbaston, Birmingham",1,1,0,74,74,74,58,127.58,0
MK Pandey,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",3,3,0,74,37,24.66,90,82.22,0
CA Soper,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),3,3,2,74,46*,74,112,66.07,0
Javed Ahmadi,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",3,3,0,73,38,24.33,89,82.02,0
MDKJ Perera,"England - Riverside Ground, Chester-le-Street",1,1,0,73,73,73,81,90.12,0
DP Conway,"New Zealand - Hagley Oval, Christchurch",1,1,0,72,72,72,93,77.41,0
M Labuschagne,Australia - Sydney Cricket Ground,2,2,0,72,70,36,63,114.28,0
